avg_l,std_l,med_l,q25_l,q75_l,avg_a,std_a,med_a,avg_b,std_b,med_b,avg_h,avg_s,avg_v,skin_tone_index,undertone_ratio,dom1_l,dom1_a,dom1_b,dom1_freq,dom2_l,dom2_a,dom2_b,dom2_freq,dom3_l,dom3_a,dom3_b,dom3_freq,image_name,predicted_skin_type,cluster_label
232.95026436581256,2.882646758214398,234.0,231.0,235.0,140.11876125733542,1.2399442014863993,140.0,128.61780256812503,1.0991702833960286,129.0,170.43263029457904,31.844401836035093,253.96845040962177,-52.32929521817443,1.089419563741365,235.27364554637285,139.2734159779614,128.3353994490358,0.5061879030852362,231.8249521489473,140.66573864625022,129.0306246737428,0.3339143570972053,227.9451308139535,141.65261627906978,128.6497093023256,0.1598977398175585,ISIC_0763957,2,1
134.71611471491977,5.742926517000788,134.0,130.0,139.0,165.44204506657562,3.743797061684192,166.0,140.99300102424036,3.064731062227453,141.0,143.21756572208946,123.44059405940594,190.2613519972687,57.21439911232503,1.173405999806131,129.77116225984403,167.26193646566483,141.96271637816244,0.448702628883578,135.85806934397607,164.50661012721378,140.88850087303567,0.3421816319562991,143.4579591836735,163.06775510204082,139.08326530612246,0.2091157391601229,ISIC_5799583,7,0
146.11145412807727,5.163188856038273,145.0,142.0,149.0,161.4088498377266,3.245652281764073,161.0,136.03601678144545,3.1994148267255453,136.0,167.8101796881184,106.4576110187604,195.48317897569856,43.12200585767433,1.1865154669435105,143.56383157188392,161.1103841637309,137.98137896326122,0.4718594158157207,152.13798977853492,160.0532976393283,135.46166950596253,0.3251800839072271,142.37495122902843,164.27623878267653,132.4323058915334,0.2029605002770521,ISIC_6333067,7,0
204.90750710333484,4.433181928409913,204.0,201.0,208.0,138.6929863915059,1.3080659379196105,139.0,121.30948108269776,2.5217768125099016,121.0,152.92328398384927,26.740391804994765,215.5993719156573,-26.90676686107373,1.1432987242272548,205.17991315839157,138.72305078346233,120.24579950915614,0.3960669956632272,200.84711538461536,138.75615384615386,123.17576923076923,0.3888141169433228,211.74487313173444,138.52346193952033,119.8946819603754,0.2151188873934499,ISIC_2670619,2,1
206.27118105229687,9.314711352470416,207.0,199.0,214.0,126.58384994436496,1.4192169432473465,126.0,148.5667885338844,2.703529027437224,148.0,22.539765802998996,60.751178932867056,213.00323213055688,-23.72598950882212,0.8520332348380943,216.1690890775652,125.59274715786444,147.2571593034969,0.3681979547501722,205.89041769041768,126.44864864864866,149.07682227682227,0.3231070841943517,194.85066162570888,127.9092627599244,149.5956349888297,0.308694961055476,ISIC_0305928,1,3
137.01097525044196,13.614995515209518,137.0,125.0,148.0,136.6838538597525,3.626239051912184,136.0,155.50434590453742,4.996387495744649,155.0,16.016499705362403,124.00567177371832,157.3890689451974,50.64548467884501,0.8789712227975232,122.10687334285132,139.51437895166222,157.17764633897613,0.3617413081909251,153.00617990386814,133.7846189059281,153.4900434882124,0.3215232763700648,137.75255576208178,136.40241635687732,155.64289033457248,0.31673541543901,ISIC_6618799,10,2
194.8300574345884,6.416537160741957,195.0,190.0,199.0,145.8326738991704,1.1343471780426944,146.0,135.3423101467773,2.4544068226032785,136.0,62.00657306955967,58.17326100829611,225.84932992980217,-10.477562220804074,1.077509782165818,195.38977485928703,145.97826766729204,135.9396497811132,0.4081684747925973,187.53236563358175,145.98214986269124,135.75637504903884,0.3253350350989151,202.88170498084287,145.4272030651341,133.92193486590037,0.2664964901084876,ISIC_4833303,3,7
195.15973867470743,8.023645781395015,194.0,189.0,201.0,147.61361188886497,2.101906241709889,148.0,142.2953550147175,3.024499828941451,142.0,6.015507215162611,76.3647785196353,233.11142221264987,-8.187048603632718,1.037374702075485,196.1142136551973,147.56836606016932,141.91334894613584,0.3977313518558403,186.96238549990247,148.65211459754434,142.58721496784253,0.3683681527747864,206.4816753926701,146.04989220819218,142.48721897135815,0.2339004953693732,ISIC_3126741,3,7
223.13158479662147,3.728568507663093,223.0,220.0,226.0,144.20171149144255,1.1681239788791375,144.0,126.68131807068238,1.5918803603092506,127.0,169.66998221827072,40.97049344298733,248.72743943098467,-41.866675927983984,1.1383028082164135,222.83595035142812,144.4872139973082,126.4069089277703,0.3715825739053123,226.97154533070983,143.5023459966702,127.12002421673982,0.3671371415870193,218.1563164610804,144.77839217354318,126.45512547851978,0.2612802845076684,ISIC_4975454,2,1
194.53841339383507,8.92571193338269,195.0,187.0,202.0,144.46127366609295,1.9786121788605957,144.0,139.3709904553278,4.2649936468241965,138.0,17.360819902988577,65.21780629009545,225.4913159130027,-9.388734157408848,1.0365231877085987,204.0418103448276,143.62327586206897,137.64181034482758,0.3628540134564231,193.9400457665904,144.5491990846682,141.29977116704805,0.3417305585980285,183.54135737009543,145.39024390243904,139.26352067868504,0.2954154279455484,ISIC_7065522,3,7
225.63844807819947,5.294031098691589,226.0,222.0,230.0,143.52706208893983,1.5438855180343338,144.0,123.52543293308392,1.948416577572712,124.0,163.9987932178845,36.607313099619866,247.88722621130756,-45.52269957159235,1.161923071724512,225.52341112578893,143.66930867459268,124.05621605753706,0.4105472756893742,231.58696883852696,142.74919735599622,123.15996222851746,0.3200386170276956,218.759686450168,144.23247480403137,123.14893617021276,0.2694141072829301,ISIC_9481783,2,1
203.9582157362153,6.3659517409069135,204.0,199.0,209.0,145.8218489708818,1.2634883910593386,146.0,142.39684724994837,3.2877340204037897,142.0,6.251256281407035,72.3130722103669,240.3133475597164,-17.492606869966274,1.0240524389869192,204.56057385759829,145.90878498051717,142.93304994686503,0.3885867694637571,196.4813004674883,145.82277943051423,143.115172120697,0.3239485096716459,211.571497005988,145.70323353293412,140.8620359281437,0.2874647208645969,ISIC_4025918,3,7
175.21644468770904,9.893357886871046,175.0,167.0,183.0,142.2345070850818,1.8105514341682456,143.0,130.3876421577571,2.61169820562582,130.0,147.38277686553548,48.022015447302806,194.71361673660525,6.570200085142631,1.0908587180708726,164.666229293095,142.41938658356568,130.771855010661,0.3707960834397616,176.07763681121,142.4468850596478,130.37890551032,0.3211701027792982,187.01836130306023,141.79052319842054,129.93425468904246,0.3080338137809402,ISIC_0953317,5,6
178.06910601581848,4.401289904546724,177.0,174.0,181.0,142.20196532715508,2.6528142860160933,142.0,152.43468882320045,2.665379311334437,152.0,11.934089638092194,100.85547655188942,210.0615962291284,10.32189022928818,0.9328713634425604,174.44519966015292,143.88487680543756,150.78292268479186,0.3761284652872094,183.34375,141.36458333333331,152.32969961240312,0.329791483582328,176.78891605541972,140.9885900570497,154.66503667481663,0.2940800511304626,ISIC_7893482,4,9
185.5970168781892,8.170480175719273,185.0,179.0,192.0,142.8576475206071,1.2241368884255346,143.0,137.65975402328928,2.133166143023363,138.0,11.518840769331414,60.370273452832656,211.7775742509486,-1.4417964150202778,1.0377589162250664,177.58354591836732,142.9752869897959,137.2919323979592,0.4103100876619128,186.8499797816417,143.02122927618277,137.7191670036393,0.3235640455318592,196.4287118977384,142.47738446411012,138.1546214355949,0.2661258668062279,ISIC_8780547,3,7
164.5957949179222,5.882859609555148,164.0,160.0,169.0,140.83359568248258,2.64952489917972,141.0,154.89318641780977,2.7803667556292515,155.0,13.405441870924218,111.59759388351698,193.86294130874748,24.12223971216549,0.909230353169272,164.79,140.64828571428572,155.00714285714284,0.3944232066561727,157.79239246356204,142.35833629576962,155.3668681123356,0.3163930739824601,171.74738473459902,139.42309182487406,154.22239442076713,0.2891837193613672,ISIC_5449822,4,9
192.51507010876688,3.3054244924889806,192.0,190.0,195.0,156.09225527453808,2.204463262047202,156.0,135.21078495610013,2.530289640755305,136.0,157.43139824400473,78.22860699777225,239.9099069584589,-5.12415803957542,1.1544363401251925,190.76275028333964,155.51970784535953,136.99030348822566,0.5174289083999476,196.8582468002898,155.94228447234968,133.44554455445544,0.2713274800157253,191.23522012578616,157.71729559748428,133.06572327044026,0.211243611584327,ISIC_3086038,7,0
238.52846715328468,13.018937818909013,240.0,227.0,252.0,126.7190389294404,1.2919185646006963,127.0,132.62992700729927,3.22047203693146,132.0,29.869160583941607,11.89081508515815,238.47755474452555,-60.7237773722628,0.9554331532440252,252.591042345277,126.9141693811075,130.5990228013029,0.3739051094890511,223.6441841004185,126.99782426778243,133.97138075313805,0.3634428223844282,239.12716763005776,126.05687861271676,133.65988439306358,0.2626520681265207,ISIC_6517082,1,3
206.01279513643436,6.147065890656124,206.0,202.0,210.0,143.10214901739008,1.7214762460885067,143.0,138.64746218012158,3.481758465392085,138.0,19.114095857486216,59.27364626042698,235.79478297752016,-21.48791177718084,1.0321295207710768,206.2694967036501,143.05177681299244,139.8158867985207,0.4394881945426269,198.4269917064589,143.89067604925862,139.34078914300076,0.2817050756397568,213.25379939209728,142.38677811550153,136.1081560283688,0.2788067298176163,ISIC_7511011,3,7
234.59023145194035,2.866819680942429,235.0,233.0,237.0,138.72939265618655,1.435437256462495,139.0,129.80358489471547,0.9170269787817564,130.0,169.6499796971982,29.366784616277045,254.09530715238705,-54.03033818666975,1.06876387182274,237.06719761075163,137.5296167247387,129.70420607267295,0.4661523290214049,233.6942570347211,139.3646536119796,130.0116833964127,0.3525146470212889,229.96449136276397,140.57869481765837,129.6545105566219,0.1813330239573061,ISIC_4742279,2,1
